Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
117;Spencer Dinwiddie;PG;29;DAL;53;53;34.1;6;13.1;0.455;2.6;6.4;0.405;3.4;6.7;0.504;0.555;3.2;3.9;0.821;0.4;2.7;3.1;5.3;0.7;0.3;1.7;2.3;17.7
117;Spencer Dinwiddie;PG;29;BRK;2;2;35;5;13.5;0.37;1;5.5;0.182;4;8;0.5;0.407;6;7.5;0.8;0.5;5;5.5;6;2.5;0;2;2;17
118;Donte DiVincenzo;SG;26;GSW;46;12;25.1;3;7.2;0.424;2;4.9;0.407;1;2.3;0.462;0.564;0.7;0.8;0.816;0.9;3.4;4.3;3.3;1.3;0.1;1.4;1.8;8.8
119;Luka Don?i?;PG;23;DAL;48;48;36.6;11.3;22.3;0.505;2.8;7.9;0.35;8.5;14.4;0.589;0.566;8;11;0.727;0.9;8;8.9;8.2;1.5;0.5;3.7;2.7;33.3
120;Tyler Dorsey;SG;26;DAL;3;0;2.7;1.3;1.7;0.8;0.3;0.7;0.5;1;1;1;0.9;0;0;0;0.3;0.3;0.7;0;0;0;0;0;3
121;Luguentz Dort;SG;23;OKC;48;47;30.1;4.8;11.7;0.413;1.9;5.3;0.365;2.9;6.4;0.453;0.496;2.5;3.4;0.753;1.4;2.8;4.2;2.3;1;0.3;1.4;3.3;14.1
122;Ayo Dosunmu;SG;23;CHI;54;46;27.9;3.9;7.6;0.513;0.8;2.6;0.326;3.1;5.1;0.608;0.568;1;1.2;0.8;0.7;2.4;3;2.8;0.7;0.4;1.4;2.5;9.6
123;Devon Dotson;PG;23;WAS;6;0;8.8;0.2;1.7;0.1;0.2;0.7;0.25;0;1;0;0.15;0;0;0;1;0.7;1.7;1.3;0.8;0;0.5;1.5;0.5
124;Jeff Dowtin;PG;25;TOR;14;0;6.6;0.9;1.8;0.48;0.1;0.3;0.25;0.8;1.5;0.524;0.5;0.2;0.2;1;0.4;0.6;0.9;0.9;0.1;0.1;0.1;0.4;2
125;PJ Dozier;SG;26;SAC;4;0;2.5;0.5;0.8;0.667;0.3;0.5;0.5;0.3;0.3;1;0.833;0;0;0;0;0.5;0.5;0;0.8;0;0;0;1.3
